m2_price,square,rooms,micro_district,district,floor,floors,Day,Month,Year,building_type,Construction_year,condition,price
1163,43,1,114,1,7,18,4,2,2023,1,2022,2,50000
838,76,2,71,4,7,14,4,2,2023,2,2022,1,63700
1667,45,2,83,1,9,12,4,2,2023,1,2022,3,75000
1133,105,3,83,1,6,16,4,2,2023,2,2022,1,119000
1250,120,3,71,4,12,13,4,2,2023,2,2022,1,150000
1242,66,2,8,1,12,12,4,2,2023,2,2022,1,82000
1108,37,1,15,1,6,8,4,2,2023,2,2022,1,41000
819,46,1,69,1,2,10,4,2,2023,3,2022,1,38000
1176,51,2,106,5,2,5,4,2,2023,3,2022,1,60000
863,168,4,64,3,2,10,4,2,2023,1,2022,3,145000
875,56,2,83,1,4,9,4,2,2023,2,2022,1,49000
882,85,3,89,5,10,10,4,2,2023,1,2015,2,75000
1325,40,1,83,1,1,10,4,2,2023,1,2018,3,53000
1347,72,2,30,5,4,12,4,2,2023,1,2022,3,97000
825,126,4,67,3,4,9,4,2,2023,1,2014,3,104000
750,60,2,49,5,3,14,4,2,2023,2,2023,1,45000
900,43,1,83,1,5,12,4,2,2023,2,2022,1,38844
900,60,2,123,4,5,5,4,2,2023,1,2022,3,54000
612,58,2,29,1,3,10,4,2,2023,2,2023,1,35500
556,36,1,92,4,5,9,4,2,2023,2,2022,5,20000
857,70,3,54,5,6,6,4,2,2023,1,2019,3,60000
923,65,4,87,5,6,9,4,2,2023,1,1986,4,60000
844,77,2,54,5,5,12,4,2,2023,2,2019,4,65000
1372,86,2,17,5,10,12,4,2,2023,2,2019,3,118000
825,200,5,18,3,5,6,4,2,2023,1,2019,2,165000
730,72,2,29,1,2,10,4,2,2023,2,2023,1,52560
1176,125,3,83,1,5,12,4,2,2023,1,2019,2,147000
1535,43,2,104,3,8,10,4,2,2023,2,2020,2,66000
1052,58,3,130,4,5,5,4,2,2023,3,2020,2,61000
1356,36,1,29,1,6,9,4,2,2023,3,1990,4,48800
917,18,1,125,4,3,5,4,2,2023,1,1990,4,16500
1158,43,2,5,1,2,4,4,2,2023,3,1990,4,49800
909,16,1,15,1,2,5,4,2,2023,1,1990,4,15000
1006,86,3,16,5,5,10,4,2,2023,2,2022,4,87000
868,219,4,10,1,7,8,4,2,2023,2,2005,3,190000
1026,96,5,88,5,4,6,4,2,2023,1,1996,2,98500
1147,75,3,124,4,1,5,4,2,2023,1,1993,2,86000
1088,80,2,22,5,7,10,4,2,2023,2,1993,2,87000
1125,32,1,126,5,2,3,4,2,2023,1,1981,2,36000
1174,43,2,6,1,3,4,4,2,2023,3,1981,4,50500
1776,105,4,83,1,5,12,4,2,2023,2,2019,3,186500
1703,91,3,104,3,7,10,4,2,2023,2,2020,3,155000
1162,99,3,67,3,10,10,4,2,2023,2,2020,3,115000
1096,57,3,16,5,4,4,4,2,2023,3,1983,3,62500
1221,61,2,33,3,6,14,4,2,2023,2,1983,1,74500
